movie_id,writer_id
1,1.0
2,2.0
3,3.0
4,4.0
5,5.0
6,6.0
7,7.0
8,8.0
9,9.0
10,10.0
11,11.0
12,12.0
13,13.0
14,14.0
15,15.0
16,16.0
17,14.0
18,17.0
19,18.0
20,19.0
21,20.0
22,21.0
23,22.0
24,23.0
25,24.0
26,25.0
27,26.0
28,27.0
29,28.0
30,29.0
31,30.0
32,31.0
33,32.0
34,33.0
35,34.0
36,35.0
37,36.0
38,37.0
39,6.0
40,38.0
41,39.0
42,40.0
43,41.0
44,42.0
45,43.0
46,44.0
47,45.0
48,46.0
49,47.0
50,48.0
51,49.0
52,50.0
53,51.0
54,52.0
55,53.0
56,54.0
57,55.0
58,56.0
59,57.0
60,58.0
61,59.0
62,60.0
63,61.0
64,62.0
65,63.0
66,64.0
67,65.0
68,66.0
69,67.0
70,68.0
71,69.0
72,70.0
73,71.0
74,72.0
75,73.0
76,47.0
77,68.0
78,74.0
79,75.0
80,76.0
81,77.0
82,78.0
83,79.0
84,80.0
85,81.0
86,82.0
87,83.0
88,84.0
89,85.0
90,86.0
91,87.0
92,88.0
93,89.0
94,90.0
95,91.0
96,92.0
97,93.0
98,94.0
99,95.0
100,38.0
101,96.0
102,69.0
103,97.0
104,2.0
105,98.0
106,99.0
107,100.0
108,101.0
109,102.0
110,103.0
111,104.0
112,105.0
113,106.0
114,107.0
115,17.0
116,108.0
117,109.0
118,110.0
119,111.0
120,112.0
121,113.0
122,114.0
123,39.0
124,103.0
125,115.0
126,116.0
127,117.0
128,118.0
129,119.0
130,120.0
131,121.0
132,122.0
133,123.0
134,124.0
135,125.0
136,16.0
137,126.0
138,127.0
139,128.0
140,129.0
141,91.0
142,130.0
143,131.0
144,132.0
145,133.0
146,134.0
147,135.0
148,136.0
149,111.0
150,137.0
151,138.0
152,111.0
153,139.0
154,140.0
155,141.0
156,123.0
157,142.0
158,143.0
159,62.0
160,144.0
161,145.0
162,146.0
163,147.0
164,148.0
165,149.0
166,150.0
167,151.0
168,152.0
169,153.0
170,112.0
171,154.0
172,155.0
173,156.0
174,157.0
175,158.0
176,159.0
177,160.0
178,161.0
179,162.0
180,163.0
181,164.0
182,165.0
183,166.0
184,167.0
185,168.0
186,169.0
187,123.0
188,170.0
189,171.0
190,172.0
191,173.0
192,174.0
193,65.0
194,117.0
195,173.0
196,175.0
197,171.0
198,176.0
199,177.0
200,178.0
201,179.0
202,108.0
203,103.0
204,180.0
205,181.0
206,182.0
207,129.0
208,183.0
209,68.0
210,184.0
211,185.0
212,186.0
213,21.0
214,187.0
215,188.0
216,173.0
217,4.0
218,189.0
219,190.0
220,191.0
221,192.0
222,193.0
223,194.0
224,103.0
225,195.0
226,196.0
227,197.0
228,198.0
229,199.0
230,200.0
231,201.0
232,202.0
233,203.0
234,204.0
235,205.0
236,206.0
237,198.0
238,62.0
239,207.0
240,208.0
241,209.0
242,210.0
243,211.0
244,126.0
245,212.0
246,213.0
247,214.0
248,215.0
249,216.0
250,217.0
251,218.0
252,99.0
253,213.0
254,219.0
255,220.0
256,71.0
257,221.0
258,222.0
259,223.0
260,224.0
261,225.0
262,43.0
263,226.0
264,227.0
265,35.0
266,228.0
267,229.0
268,230.0
269,231.0
270,232.0
271,63.0
272,233.0
273,234.0
274,112.0
275,29.0
276,35.0
277,235.0
278,236.0
279,237.0
280,238.0
281,239.0
282,240.0
283,108.0
284,241.0
285,242.0
286,243.0
287,244.0
288,245.0
289,246.0
290,247.0
291,248.0
292,249.0
293,173.0
294,213.0
295,250.0
296,124.0
297,251.0
298,223.0
299,252.0
300,86.0
301,253.0
302,91.0
303,254.0
304,171.0
305,255.0
306,14.0
307,256.0
308,257.0
309,258.0
310,259.0
311,105.0
312,260.0
313,97.0
314,11.0
315,261.0
316,224.0
317,262.0
318,263.0
319,264.0
320,265.0
321,266.0
322,74.0
323,267.0
324,268.0
325,269.0
326,270.0
327,271.0
328,272.0
329,273.0
330,274.0
331,275.0
332,276.0
333,128.0
334,277.0
335,278.0
336,279.0
337,65.0
338,280.0
339,281.0
340,282.0
341,283.0
342,284.0
343,285.0
344,67.0
345,286.0
346,287.0
347,288.0
348,84.0
349,289.0
350,290.0
351,291.0
352,292.0
353,293.0
354,294.0
355,295.0
356,296.0
357,116.0
358,297.0
359,14.0
360,298.0
361,267.0
362,11.0
363,299.0
364,246.0
365,300.0
366,301.0
367,302.0
368,303.0
369,304.0
370,129.0
371,305.0
372,143.0
373,306.0
374,307.0
375,308.0
376,309.0
377,310.0
378,311.0
379,312.0
380,313.0
381,314.0
382,120.0
383,315.0
384,198.0
385,316.0
386,317.0
387,318.0
388,257.0
389,319.0
390,230.0
391,73.0
392,320.0
393,192.0
394,209.0
395,321.0
396,322.0
397,280.0
398,303.0
399,323.0
400,324.0
401,68.0
402,325.0
403,326.0
404,47.0
405,257.0
406,99.0
407,68.0
408,232.0
409,103.0
410,327.0
411,328.0
412,329.0
413,330.0
414,250.0
415,331.0
416,29.0
417,332.0
418,280.0
419,86.0
420,333.0
421,334.0
422,335.0
423,186.0
424,336.0
425,337.0
426,305.0
427,338.0
428,122.0
429,339.0
430,340.0
431,108.0
432,319.0
433,255.0
434,341.0
435,223.0
436,128.0
437,337.0
438,342.0
439,271.0
440,343.0
441,344.0
442,345.0
443,108.0
444,174.0
445,6.0
446,346.0
447,347.0
448,107.0
449,348.0
450,173.0
451,69.0
452,349.0
453,251.0
454,326.0
455,350.0
456,351.0
457,352.0
458,62.0
459,230.0
460,353.0
461,249.0
462,354.0
463,100.0
464,355.0
465,356.0
466,357.0
467,358.0
468,129.0
469,292.0
470,171.0
471,178.0
472,359.0
473,39.0
474,305.0
475,360.0
476,361.0
477,362.0
478,310.0
479,363.0
480,279.0
481,364.0
482,71.0
483,365.0
484,275.0
485,366.0
486,367.0
487,68.0
488,368.0
489,350.0
490,91.0
491,369.0
492,370.0
493,173.0
494,371.0
495,65.0
496,65.0
497,38.0
498,372.0
499,373.0
500,374.0
501,375.0
502,376.0
503,377.0
504,378.0
505,379.0
506,16.0
507,380.0
508,11.0
509,381.0
510,382.0
511,383.0
512,384.0
513,385.0
514,62.0
515,386.0
516,149.0
517,343.0
518,387.0
519,388.0
520,223.0
521,389.0
522,390.0
523,391.0
524,203.0
525,143.0
526,392.0
527,393.0
528,71.0
529,394.0
530,395.0
531,396.0
532,397.0
533,128.0
534,398.0
535,304.0
536,314.0
537,399.0
538,400.0
539,401.0
540,387.0
541,402.0
542,38.0
543,403.0
544,404.0
545,405.0
546,406.0
547,86.0
548,215.0
549,380.0
550,103.0
551,407.0
552,408.0
553,409.0
554,410.0
555,76.0
556,280.0
557,411.0
558,412.0
559,413.0
560,128.0
561,179.0
562,131.0
563,414.0
564,415.0
565,302.0
566,416.0
567,417.0
568,418.0
569,419.0
570,173.0
571,420.0
572,257.0
573,193.0
574,421.0
575,422.0
576,423.0
577,25.0
578,319.0
579,424.0
580,425.0
581,426.0
582,192.0
583,218.0
584,427.0
585,428.0
586,429.0
587,430.0
588,431.0
589,432.0
590,433.0
591,434.0
592,435.0
593,436.0
594,437.0
595,438.0
596,214.0
597,280.0
598,439.0
599,11.0
600,440.0
601,108.0
602,441.0
603,442.0
604,443.0
605,444.0
606,445.0
607,446.0
608,447.0
609,312.0
610,448.0
611,449.0
612,302.0
613,450.0
614,451.0
615,11.0
616,452.0
617,453.0
618,141.0
619,454.0
620,265.0
621,455.0
622,236.0
623,456.0
624,457.0
625,458.0
626,459.0
627,460.0
628,93.0
629,461.0
630,60.0
631,462.0
632,112.0
633,463.0
634,29.0
635,464.0
636,293.0
637,465.0
638,8.0
639,466.0
640,467.0
641,468.0
642,469.0
643,470.0
644,41.0
645,471.0
646,472.0
647,178.0
648,473.0
649,474.0
650,475.0
651,239.0
652,158.0
653,476.0
654,477.0
655,478.0
656,89.0
657,81.0
658,479.0
659,364.0
660,480.0
661,481.0
662,482.0
663,483.0
664,116.0
665,100.0
666,245.0
667,484.0
668,421.0
669,485.0
670,486.0
671,271.0
672,487.0
673,488.0
674,489.0
675,490.0
676,491.0
677,492.0
678,493.0
679,
680,494.0
681,495.0
682,496.0
683,392.0
684,167.0
685,497.0
686,498.0
687,499.0
688,500.0
689,501.0
690,211.0
691,11.0
692,360.0
693,502.0
694,503.0
695,309.0
696,504.0
697,505.0
698,
699,506.0
700,32.0
701,507.0
702,15.0
703,2.0
704,508.0
705,509.0
706,510.0
707,282.0
708,511.0
709,512.0
710,513.0
711,514.0
712,83.0
713,515.0
714,516.0
715,517.0
716,518.0
717,457.0
718,519.0
719,374.0
720,380.0
721,271.0
722,520.0
723,521.0
724,493.0
725,522.0
726,523.0
727,29.0
728,524.0
729,525.0
730,526.0
731,527.0
732,249.0
733,528.0
734,
735,529.0
736,530.0
737,389.0
738,374.0
739,531.0
740,29.0
741,29.0
742,532.0
743,533.0
744,534.0
745,280.0
746,535.0
747,29.0
748,536.0
749,537.0
750,29.0
751,482.0
752,374.0
753,449.0
754,538.0
755,539.0
756,389.0
757,540.0
758,106.0
759,541.0
760,224.0
761,542.0
762,543.0
763,544.0
764,545.0
765,546.0
766,547.0
767,213.0
768,141.0
769,20.0
770,183.0
771,85.0
772,548.0
773,549.0
774,550.0
775,551.0
776,282.0
777,36.0
778,552.0
779,160.0
780,310.0
781,553.0
782,65.0
783,331.0
784,554.0
785,160.0
786,555.0
787,124.0
788,170.0
789,556.0
790,557.0
791,280.0
792,558.0
793,17.0
794,559.0
795,560.0
796,561.0
797,16.0
798,
799,562.0
800,563.0
801,564.0
802,280.0
803,565.0
804,321.0
805,107.0
